href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1541,mandarin33,male,"['beijing,chin']",Unknown,[],"25,male",6.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1578,mandarin34,female,"['shijiazhuang,hebei,chin']",Unknown,[],"31,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1579,mandarin35,female,"['yantai,shandong,chin']",Unknown,[],"27,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1580,mandarin36,female,"['beijing,chin']",Unknown,[],"32,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1581,mandarin37,female,"['huhot,neimenggu,chin']",Unknown,[],"32,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1582,mandarin38,female,"['changsha,hunan,chin']",Unknown,[],"33,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1583,mandarin39,female,"['tieling,liaoning,chin']",Unknown,[],"24,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1614,mandarin40,male,"['chengdu,sichuan,chin']",Unknown,[],"28,male",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1615,mandarin41,female,"['songyuan,jilin,chin']",Unknown,[],"34,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1616,mandarin42,female,"['yanbian,jilin,chin']",Unknown,[],"47,female",16.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1617,mandarin43,female,"['datong,shanxi,chin']",Unknown,[],"24,female",15.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1630,mandarin44,male,"['hangzhou,zhejiang,chin']",Unknown,[],"21,male",16.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1631,mandarin45,female,"['beijing,chin']",Unknown,[],"42,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1636,mandarin46,female,"['jilincity,jilin,chin']",Unknown,[],"43,female",9.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1644,mandarin47,female,"['beijing,chin']",Unknown,[],"28,female",8.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1645,mandarin48,male,"['pingdingshan,henan,chin']",Unknown,[],"37,male",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1736,mandarin49,male,"['shanghai,chin']",Unknown,[],"21,male",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1788,mandarin50,male,"['hsinchu,taiwa']",Unknown,[],"25,male",9.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1792,mandarin51,male,"['tianjin,hebei,chin']",Unknown,[],"25,male",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1793,mandarin52,female,"['shaoxing,zhejiang,chin']",Unknown,[],"26,female",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1817,mandarin53,female,"['ningbo,zhejiang,chin']",Unknown,[],"38,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1900,mandarin54,female,"['chengdu,sichuan,chin']",Unknown,[],"25,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1909,mandarin55,female,"['loudi,hunan,chin']",Unknown,[],"25,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1910,mandarin56,female,"['baoding,hebei,chin']",Unknown,[],"26,female",11.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1990,mandarin57,male,"['shanghai,chin']",Unknown,[],"20,male",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2000,mandarin58,male,"['superior,colorado,us']",Unknown,[],"23,male",7.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2019,mandarin59,female,"['kunming,yunnan,chin']",Unknown,[],"20,female",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2109,mandarin60,female,"['guiyang,guizhou,chin']",Unknown,[],"41,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2116,mandarin61,female,"['shangrao,jiangxi,chin']",Unknown,[],"33,female",16.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2117,mandarin62,male,"['shanghai,chin']",Unknown,[],"24,male",7.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2119,mandarin63,male,"['jiaozuo,henan,chin']",Unknown,[],"27,male",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2129,mandarin64,female,"['fuzhou,fujian,chin']",Unknown,[],"24,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2173,mandarin65,female,"['tianjin,hebei,chin']",Unknown,[],"20,female",5.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2252,mandarin66,female,"['shanghai,chin']",Unknown,[],"22,female",19.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2274,mandarin67,male,"['nanjing,chin']",Unknown,[],"23,male",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2281,mandarin68,male,"['dongyang,zhejiang,chin']",Unknown,[],"23,male",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2282,mandarin69,male,"['taizhou,jiangsu,chin']",Unknown,[],"22,male",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2291,mandarin70,female,"['shanghai,chin']",Unknown,[],"21,female",8.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2294,mandarin71,female,"['chengdu,sichuan,chin']",Unknown,[],"20,female",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2306,mandarin72,female,"['taichung,taiwa']",Unknown,[],"22,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2319,mandarin73,female,"['chengdu,sichuan,chin']",Unknown,[],"27,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2323,mandarin74,male,"['shenzhen,chin']",Unknown,[],"19,male",13.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2332,mandarin75,male,"['taipei,taiwa']",Unknown,[],"20,male",13.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2348,mandarin76,male,"['zhengzhou,henan,chin']",Unknown,[],"29,male",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2355,mandarin77,female,"['jingjiang,jiangsu,chin']",Unknown,[],"20,female",8.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2360,mandarin78,female,"['ganzhou,jiangxi,chin']",Unknown,[],"20,female",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2365,mandarin79,female,"['johorbahru,malaysi']",Unknown,[],"19,female",2.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2413,mandarin80,male,"[""xi'an,shanxi,chin""]",Unknown,[],"21,male",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2414,mandarin81,female,"['suzhou,jiangsu,chin']",Unknown,[],"22,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2418,mandarin82,female,"['wuhai,chin']",Unknown,[],"23,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2419,mandarin83,female,"['zhengzhou,henan,chin']",Unknown,[],"26,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2420,mandarin84,female,"['zhengzhou,henan,chin']",Unknown,[],"24,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2421,mandarin85,female,"['changsha,hunan,chin']",Unknown,[],"23,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2423,mandarin86,female,"['shenyang,liaoning,chin']",Unknown,[],"22,female",7.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2435,mandarin87,female,"['lanzhou,gansu,chin']",Unknown,[],"22,female",7.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2447,mandarin88,male,"['anqing,anhui,chin']",Unknown,[],"23,male",8.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2448,mandarin89,male,"['taiyuan,shanxi,chin']",Unknown,[],"19,male",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2461,mandarin90,male,"['chengdu,sichuan,chin']",Unknown,[],"27,male",8.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2463,mandarin91,male,"['tongcheng,anhui,chin']",Unknown,[],"22,male",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2469,mandarin92,female,"[""huai'an,jiangsu,chin""]",Unknown,[],"23,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2474,mandarin93,female,"[""xi'an,shanxi,chin""]",Unknown,[],"22,female",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2477,mandarin94,male,"['baotou,innermongolia,chin']",Unknown,[],"23,male",8.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2483,mandarin95,female,"['yangxin,hubei,chin']",Unknown,[],"29,female",11.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2494,mandarin96,female,"['qingdao,shandong,chin']",Unknown,[],"27,female",9.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2523,mandarin97,female,"['jiujiang,jiangxi,chin']",Unknown,[],"28,female",11.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2524,mandarin98,female,"['nanchang,jiangxi,chin']",Unknown,[],"25,female",11.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2529,mandarin99,female,"['nanchang,jiangxi,chin']",Unknown,[],"26,female",9.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2530,mandarin100,female,"['wuhan,hubei,chin']",Unknown,[],"25,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2531,mandarin101,female,"['jiujiang,jiangxi,chin']",Unknown,[],"23,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2532,mandarin102,female,"['huanggang,hubei,chin']",Unknown,[],"27,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2538,mandarin103,female,"['leshan,sichuan,chin']",Unknown,[],"27,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2539,mandarin104,female,"['beijing,chin']",Unknown,[],"29,female",7.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2540,mandarin105,female,"['tongliao,innermongolia,chin']",Unknown,[],"26,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2542,mandarin106,female,"[""xi'an,shanxi,chin""]",Unknown,[],"25,female",2.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2554,mandarin107,female,"['taiyuan,shanxi,chin']",Unknown,[],"26,female",8.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2557,mandarin108,female,"['nanning,guangxi,chin']",Unknown,[],"26,female",14.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2559,mandarin109,female,"[""xi'an,shanxi,chin""]",Unknown,[],"23,female",4.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2560,mandarin110,female,"['panjin,liaoning,chin']",Unknown,[],"24,female",7.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2562,mandarin111,female,"['beijing,chin']",Unknown,[],"23,female",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2564,mandarin112,male,"['tianjin,chin']",Unknown,[],"26,male",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2566,mandarin113,male,"['hohhot,innermongolia,chin']",Unknown,[],"29,male",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2599,mandarin114,female,"['beijing,chin']",Unknown,[],"19,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2675,mandarin115,male,"['urumqi,xinjiang,chin']",Unknown,[],"19,male",5.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2677,mandarin116,male,"['baotou,innermongolia,chin']",Unknown,[],"24,male",9.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2678,mandarin117,male,"['changchun,jilin,chin']",Unknown,[],"25,male",9.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2679,mandarin118,female,"[""xi'an,shanxi,chin""]",Unknown,[],"24,female",9.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2699,mandarin119,female,"['changchun,jilin,chin']",Unknown,[],"24,female",7.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2700,mandarin120,male,"['chengde,hebei,chin']",Unknown,[],"24,male",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2708,mandarin121,female,"['huangshan,anhui,chin']",Unknown,[],"30,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2711,mandarin122,male,"[""xi'an,shanxi,chin""]",Unknown,[],"26,male",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2714,mandarin123,male,"['chengdu,sichuan,chin']",Unknown,[],"21,male",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2716,mandarin124,female,"['chongqing,chin']",Unknown,[],"33,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2719,mandarin125,female,"['changchun,jilin,chin']",Unknown,[],"24,female",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2726,mandarin126,male,"['yulin,shanxi,chin']",Unknown,[],"24,male",8.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2748,mandarin127,male,"['shenyang,liaoning,chin']",Unknown,[],"25,male",15.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2772,mandarin128,female,"['cixi,zhejiang,chin']",Unknown,[],"21,female",7.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2773,mandarin129,female,"['luoyang,henan,chin']",Unknown,[],"22,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2798,mandarin130,female,"['weifang,shandong,chin']",Unknown,[],"22,female",7.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2836,mandarin131,male,"['shenzhen,guangdong,chin']",Unknown,[],"20,male",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2837,mandarin132,female,"['dangyang,hubei,chin']",Unknown,[],"21,female",2.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2876,mandarin133,female,"['beijing,chin']",Unknown,[],"26,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2877,mandarin134,male,"['luoyang,henan,chin']",Unknown,[],"27,male",9.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2878,mandarin135,male,"['langfang,hebei,chin']",Unknown,[],"25,male",9.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2879,mandarin136,female,"['shenyang,liaoning,chin']",Unknown,[],"20,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2880,mandarin137,female,"[""xi'an,shanxi,chin""]",Unknown,[],"20,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2881,mandarin138,female,"['chongqing,chin']",Unknown,[],"21,female",7.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2882,mandarin139,male,"['kunming,yunnan,chin']",Unknown,[],"23,male",14.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2883,mandarin140,male,"['xuzhou,jiangsu,chin']",Unknown,[],"22,male",7.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2884,mandarin141,female,"['beijing,chin']",Unknown,[],"21,female",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2885,mandarin142,female,"['chengdu,sichuan,chin']",Unknown,[],"23,female",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2886,mandarin143,female,"['fuyang,anhui,chin']",Unknown,[],"25,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2887,mandarin144,male,"['wuhu,anhui,chin']",Unknown,[],"20,male",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2888,mandarin145,female,"['qingdao,shandong,chin']",Unknown,[],"21,female",4.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2890,mandarin146,female,"[""xi'an,shanxi,chin""]",Unknown,[],"24,female",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2891,mandarin147,female,"['nanyang,henan,chin']",Unknown,[],"19,female",9.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2892,mandarin148,female,"['nanyang,henan,chin']",Unknown,[],"19,female",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2893,mandarin149,female,"['fuzhou,fujian,chin']",Unknown,[],"19,female",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2936,mandarin150,female,"['taiyuan,shanxi,chin']",Unknown,[],"18,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2942,mandarin151,female,"['wuxi,jiangsu,chin']",Unknown,[],"31,female",8.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2963,mandarin152,male,"['taoyuan,taiwa']",Unknown,[],"26,male",18.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2970,mandarin153,male,"['pingtung,taiwa']",Unknown,[],"22,male",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2990,mandarin154,female,"['taipei,taiwa']",Unknown,[],"22,female",4.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=3005,mandarin155,female,"['baoding,hebei,chin']",Unknown,[],"51,female",9.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=3006,mandarin156,female,"['kaohsiung,taiwa']",Unknown,[],"37,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=3029,mandarin157,female,"['zibo,shandong,chin']",Unknown,[],"58,female",11.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=61,english1,male,"['pittsburgh,pennsylvania,us']",Unknown,[],"42,male",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=77,english2,female,"['birmingham,u']",Unknown,[],"30,female",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=88,english3,female,"['brisbane,australi']",Unknown,[],"26,female",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=99,english4,female,"[""saintanne'sbay,jamaic""]",Unknown,[],"53,female",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=110,english5,male,"['fairfax,virginia,us']",Unknown,[],"62,male",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=121,english6,female,"['brooklyn,newyork,us']",Unknown,[],"45,female",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=132,english7,male,"['macon,mississippi,us']",Unknown,[],"52,male",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=143,english8,female,"['perth,australi']",Unknown,[],"21,female",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=154,english9,female,"['carthage,texas,us']",Unknown,[],"48,female",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=62,english10,female,"['davenport,iowa,us']",Unknown,[],"35,female",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=68,english11,female,"['staffordshire,u']",Unknown,[],"35,female",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=69,english12,female,"['leicester,u']",Unknown,[],"71,female",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=70,english13,male,"['henleyonthames,oxfordshire,u']",Unknown,[],"69,male",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=71,english14,male,"['belfast,northernireland,u']",Unknown,[],"40,male",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=72,english15,female,"['norton,virginia,us']",Unknown,[],"7,female",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=73,english16,male,"['wise,virginia,us']",Unknown,[],"21,male",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=74,english17,male,"['darwinva,virginia,us']",Unknown,[],"79,male",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=75,english18,female,"['dickensoncounty,virginia,us']",Unknown,[],"39,female",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=76,english19,male,"['louisville,kentucky,us']",Unknown,[],"53,male",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=78,english20,female,"['mt.holly,northcarolina,us']",Unknown,[],"27,female",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=79,english21,female,"['boston,massachusetts,us']",Unknown,[],"37,female",0.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=80,english22,female,"['panamacity,panam']",Unknown,[],"25,female",0.0,naturalistic,[],0
